 2017-03-29 11:17:42,045 [P20256/D9/T42] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.6 application starting on WIN-530IAKU8QTN
 2017-03-29 11:17:42,076 [P20256/D9/T42] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-03-29 11:17:42,092 [P20256/D9/T42] INFO  Umbraco.Core.PluginManager - Hash determined (took 10ms)
 2017-03-29 11:17:42,185 [P20256/D9/T42] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-03-29 11:17:42,185 [P20256/D9/T42] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-03-29 11:17:42,201 [P20256/D9/T42] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-03-29 11:17:42,763 [P20256/D9/T42] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 574ms)
 2017-03-29 11:17:42,795 [P20256/D9/T42] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-03-29 11:17:42,810 [P20256/D9/T42] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 6ms)
 2017-03-29 11:17:42,810 [P20256/D9/T42] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-03-29 11:17:42,826 [P20256/D9/T42] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 7ms)
 2017-03-29 11:17:42,842 [P20256/D9/T42] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-03-29 11:17:42,967 [P20256/D9/T42] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 121ms)
 2017-03-29 11:17:42,967 [P20256/D9/T42] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-03-29 11:17:42,967 [P20256/D9/T42] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 7ms)
 2017-03-29 11:17:43,013 [P20256/D9/T42] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-03-29 11:17:43,029 [P20256/D9/T42] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 6ms)
 2017-03-29 11:17:43,029 [P20256/D9/T42] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-03-29 11:17:43,029 [P20256/D9/T42] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 5ms)
 2017-03-29 11:17:45,982 [P20256/D9/T42] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-03-29 11:17:46,342 [P20256/D9/T42] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-03-29 11:17:46,357 [P20256/D9/T42] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
